sample_id,task,prompt_version,prompt_sha256,user_request,raw_model_output,generated_call,generated_method,generated_arguments,expected_method,expected_arguments,structure_valid,request_match,execute_valid,result_valid,fully_correct,request_mismatches,error_stage,error_reason,validator_failure_stage,latency,api_call_success,evaluation_scored,api_error,model_key,model_display_name,requested_model,actual_model,provider,generation_attempts,auto_correction_used
frontend_real_001,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four logistic regression models corresponding to Table 1 for all athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","result = analysis.table1(
    predictors=[
        ""demographics"",
        ""diet_nutrition"",
        ""mental_health"",
        ""physical_activity"",
        ""sleep"",
        ""social_connection"",
        ""substance_use"",
        ""work_school"",
    ],
    controls=[[], [""sex""], [""age""], [""sex"",","result = analysis.table1(
    predictors=[
        ""demographics"",
        ""diet_nutrition"",
        ""mental_health"",
        ""physical_activity"",
        ""sleep"",
        ""social_connection"",
        ""substance_use"",
        ""work_school"",
    ],
    controls=[[], [""sex""], [""age""], [""sex"",",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,9.809267399949022,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
frontend_real_002,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four logistic regression models corresponding to Table 1 for elite athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[
        ""biological"",
        ""demographics"",
        ""education"",
        ""financial"",
        ""health"",
        ""social_media"",
        ""lifestyle"",
        ""athletic_career"",
    ],
    target=""elite"",
    controls=[[], [""sex""], [""age""], [""sex"", ""age""]],
)
```","result = analysis.table1(
    predictors=[
        ""biological"",
        ""demographics"",
        ""education"",
        ""financial"",
        ""health"",
        ""social_media"",
        ""lifestyle"",
        ""athletic_career"",
    ],
    target=""elite"",
    controls=[[], [""sex""], [""age""], [""sex"", ""age""]],
)",table1,"{""filters"": {}, ""predictors"": [""biological"", ""demographics"", ""education"", ""financial"", ""health"", ""social_media"", ""lifestyle"", ""athletic_career""], ""target"": ""elite"", ""controls"": [[], [""sex""], [""age""], [""sex"", ""age""]]}",table1,"{""filters"": {""expertise_group"": ""elite""}, ""predictors"": [""muscular_strength"", ""lower_body_dynamics"", ""muscle_power_genetics"", ""blood_micronutrients"", ""basic_cognitive_function"", ""mental_health"", ""social_support"", ""training_conditions""], ""target"": ""elite_status"", ""controls"": [[], [""sex""], [""age""], [""sex"", ""age""]]}",True,False,False,False,False,"[""Expected filters={'expertise_group': 'elite'} but generated filters={}."", ""Expected exactly the eight approved public domains in predictors."", ""Expected target='elite_status' but generated 'elite'.""]",REQUEST_MATCH_FAIL,Expected filters={'expertise_group': 'elite'} but generated filters={}. Expected exactly the eight approved public domains in predictors. Expected target='elite_status' but generated 'elite'.,request_validation,6.6222655000165105,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
frontend_real_003,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four logistic regression models corresponding to Table 1 for 3x3 basketball athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[
        ""anthropometry"",
        ""coordination"",
        ""flexibility"",
        ""power"",
        ""speed"",
        ""endurance"",
        ""strength"",
        ""agility"",
    ],
    target=""elite"",
    controls=[[], [""sex""], [""age""], [""sex"", ""age""]],
    filters={""sport"": ""3x3 Basketball""},
)
```","result = analysis.table1(
    predictors=[
        ""anthropometry"",
        ""coordination"",
        ""flexibility"",
        ""power"",
        ""speed"",
        ""endurance"",
        ""strength"",
        ""agility"",
    ],
    target=""elite"",
    controls=[[], [""sex""], [""age""], [""sex"", ""age""]],
    filters={""sport"": ""3x3 Basketball""},
)",table1,"{""filters"": {""sport"": ""3x3 Basketball""}, ""predictors"": [""anthropometry"", ""coordination"", ""flexibility"", ""power"", ""speed"", ""endurance"", ""strength"", ""agility""], ""target"": ""elite"", ""controls"": [[], [""sex""], [""age""], [""sex"", ""age""]]}",table1,"{""filters"": {""sport"": ""3x3 basketball""}, ""predictors"": [""muscular_strength"", ""lower_body_dynamics"", ""muscle_power_genetics"", ""blood_micronutrients"", ""basic_cognitive_function"", ""mental_health"", ""social_support"", ""training_conditions""], ""target"": ""elite_status"", ""controls"": [[], [""sex""], [""age""], [""sex"", ""age""]]}",True,False,False,False,False,"[""Expected filters={'sport': '3x3 basketball'} but generated filters={'sport': '3x3 Basketball'}."", ""Expected exactly the eight approved public domains in predictors."", ""Expected target='elite_status' but generated 'elite'.""]",REQUEST_MATCH_FAIL,Expected filters={'sport': '3x3 basketball'} but generated filters={'sport': '3x3 Basketball'}. Expected exactly the eight approved public domains in predictors. Expected target='elite_status' but generated 'elite'.,request_validation,8.235561199951917,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
frontend_real_004,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four logistic regression models corresponding to Table 1 for ice hockey athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","sex', 'age']]`?
Wait, `analysis.table1` takes `controls` as a list of lists of strings, e.g., `controls=[[], ['sex'], ['age'], ['sex', 'age']]`.
Let's check if `controls` can be specified this way. Yes, to generate multiple models (e.g., four models), `controls","sex', 'age']]`?
Wait, `analysis.table1` takes `controls` as a list of lists of strings, e.g., `controls=[[], ['sex'], ['age'], ['sex', 'age']]`.
Let's check if `controls` can be specified this way. Yes, to generate multiple models (e.g., four models), `controls",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,8.586236800067127,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
frontend_real_005,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four logistic regression models corresponding to Table 1 for volleyball athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","domain2', ...]` or `['domain_1', ...]`. I will use `['domain1', 'domain2', 'domain3', 'domain4', 'domain5', 'domain6', 'domain7', 'domain8']`.

Let's review the target:
If not specified, `'selected'` is a very common target in sports analytics (e.g., draft selection","domain2', ...]` or `['domain_1', ...]`. I will use `['domain1', 'domain2', 'domain3', 'domain4', 'domain5', 'domain6', 'domain7', 'domain8']`.

Let's review the target:
If not specified, `'selected'` is a very common target in sports analytics (e.g., draft selection",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,8.589268599986099,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
frontend_real_006,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four logistic regression models corresponding to Table 1 for female athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","result = analysis.table1(
    predictors=[
        'Symptom Count',
        'Symptom Severity',
        'Orientation',
        'Immediate Memory',
        'Concentration',
        'SAC Total',
        'BESS',
        'Delayed Recall'
    ],
    target='Group',
    controls=[
        [],
        ['","result = analysis.table1(
    predictors=[
        'Symptom Count',
        'Symptom Severity',
        'Orientation',
        'Immediate Memory',
        'Concentration',
        'SAC Total',
        'BESS',
        'Delayed Recall'
    ],
    target='Group',
    controls=[
        [],
        ['",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,8.686453100061044,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
frontend_real_007,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four logistic regression models corresponding to Table 1 for junior national team athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[
        ""anthropometrics"",
        ""biological_maturation"",
        ""coaching_assessment"",
        ""injury_history"",
        ""physical_performance"",
        ""psychological_characteristics"",
        ""sociodemographic_factors"",
        ""training_history"",
    ],
    target=""selected"",
    controls=[[], [""sex""], [""age""], [""sex"", ""age""]],
    filters={""cohort"": ""junior_national_team""},
)
```","result = analysis.table1(
    predictors=[
        ""anthropometrics"",
        ""biological_maturation"",
        ""coaching_assessment"",
        ""injury_history"",
        ""physical_performance"",
        ""psychological_characteristics"",
        ""sociodemographic_factors"",
        ""training_history"",
    ],
    target=""selected"",
    controls=[[], [""sex""], [""age""], [""sex"", ""age""]],
    filters={""cohort"": ""junior_national_team""},
)",table1,"{""filters"": {""cohort"": ""junior_national_team""}, ""predictors"": [""anthropometrics"", ""biological_maturation"", ""coaching_assessment"", ""injury_history"", ""physical_performance"", ""psychological_characteristics"", ""sociodemographic_factors"", ""training_history""], ""target"": ""selected"", ""controls"": [[], [""sex""], [""age""], [""sex"", ""age""]]}",table1,"{""filters"": {""national_team"": ""Junior""}, ""predictors"": [""muscular_strength"", ""lower_body_dynamics"", ""muscle_power_genetics"", ""blood_micronutrients"", ""basic_cognitive_function"", ""mental_health"", ""social_support"", ""training_conditions""], ""target"": ""elite_status"", ""controls"": [[], [""sex""], [""age""], [""sex"", ""age""]]}",True,False,False,False,False,"[""Expected filters={'national_team': 'Junior'} but generated filters={'cohort': 'junior_national_team'}."", ""Expected exactly the eight approved public domains in predictors."", ""Expected target='elite_status' but generated 'selected'.""]",REQUEST_MATCH_FAIL,Expected filters={'national_team': 'Junior'} but generated filters={'cohort': 'junior_national_team'}. Expected exactly the eight approved public domains in predictors. Expected target='elite_status' but generated 'selected'.,request_validation,6.7173407999798656,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
frontend_real_008,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four logistic regression models corresponding to Table 1 for athletes aged 20 and above using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[
        ""aerobic_capacity"",
        ""anaerobic_capacity"",
        ""body_composition"",
        ""flexibility"",
        ""muscular_endurance"",
        ""muscular_strength"",
        ""power"",
        ""speed_agility"",
    ],
    target=""elite"",
    controls=[[], [""sex""], [""age""], [""sex"", ""age""]],
    filters=[""age >= 20""],
)
```","result = analysis.table1(
    predictors=[
        ""aerobic_capacity"",
        ""anaerobic_capacity"",
        ""body_composition"",
        ""flexibility"",
        ""muscular_endurance"",
        ""muscular_strength"",
        ""power"",
        ""speed_agility"",
    ],
    target=""elite"",
    controls=[[], [""sex""], [""age""], [""sex"", ""age""]],
    filters=[""age >= 20""],
)",table1,"{""filters"": [""age >= 20""], ""predictors"": [""aerobic_capacity"", ""anaerobic_capacity"", ""body_composition"", ""flexibility"", ""muscular_endurance"", ""muscular_strength"", ""power"", ""speed_agility""], ""target"": ""elite"", ""controls"": [[], [""sex""], [""age""], [""sex"", ""age""]]}",table1,"{""filters"": {""age_group"": ""20_and_above""}, ""predictors"": [""muscular_strength"", ""lower_body_dynamics"", ""muscle_power_genetics"", ""blood_micronutrients"", ""basic_cognitive_function"", ""mental_health"", ""social_support"", ""training_conditions""], ""target"": ""elite_status"", ""controls"": [[], [""sex""], [""age""], [""sex"", ""age""]]}",True,False,False,False,False,"[""Expected filters={'age_group': '20_and_above'} but generated filters=['age >= 20']."", ""Expected exactly the eight approved public domains in predictors."", ""Expected target='elite_status' but generated 'elite'.""]",REQUEST_MATCH_FAIL,Expected filters={'age_group': '20_and_above'} but generated filters=['age >= 20']. Expected exactly the eight approved public domains in predictors. Expected target='elite_status' but generated 'elite'.,request_validation,7.822379900026135,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
frontend_real_009,table2,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four multiple linear regression models corresponding to Table 2 for all athletes, with expertise_value as the continuous target.","
An alternative: maybe the user wants `analysis.table1` with `target='expertise_value'`.
What if `predictors` is a list of variables?
Let's search my knowledge for ""four multiple linear regression models corresponding to Table 2 for all athletes, with expertise_value as the continuous target"".
Could the predictors be:
Model 1: `['","An alternative: maybe the user wants `analysis.table1` with `target='expertise_value'`.
What if `predictors` is a list of variables?
Let's search my knowledge for ""four multiple linear regression models corresponding to Table 2 for all athletes, with expertise_value as the continuous target"".
Could the predictors be:
Model 1: `['",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,9.122572700027376,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
frontend_real_010,table2,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,"Generate the four multiple linear regression models corresponding to Table 2 for elite athletes, with expertise_value as the continuous target.","result = analysis.table1(
    predictors=[
        'deliberate_practice',
        'structured_practice',
        'play',
        'other_sports'
    ],
    target='expertise_value',
    filters={'group': 'elite'}
)","result = analysis.table1(
    predictors=[
        'deliberate_practice',
        'structured_practice',
        'play',
        'other_sports'
    ],
    target='expertise_value',
    filters={'group': 'elite'}
)",table1,"{""filters"": {""group"": ""elite""}, ""predictors"": [""deliberate_practice"", ""structured_practice"", ""play"", ""other_sports""], ""target"": ""expertise_value""}",table2,"{""filters"": {""expertise_group"": ""elite""}, ""group"": ""all"", ""predictors"": [""muscular_strength"", ""lower_body_dynamics"", ""muscle_power_genetics"", ""blood_micronutrients"", ""basic_cognitive_function"", ""mental_health"", ""social_support"", ""training_conditions""]}",True,False,False,False,False,"[""Expected method='table2' but generated 'table1'.""]",REQUEST_MATCH_FAIL,Expected method='table2' but generated 'table1'.,request_validation,8.88004069996532,True,True,,gemini,Gemini 3.5 Flash,gemini-3.5-flash,gemini-3.5-flash,openai_compatible,1,False
